keyword,currency,segmentation,avg_monthly_searches_exported,ui_range_bucket,three_month_change,yoy_change,competition,competition_index,top_of_page_bid_low,top_of_page_bid_high,ad_impression_share,organic_average_position,organic_impression_share,in_account,date_range,planner_account,plan_id,plan_name,captured_at
als suspension ohio lawyer,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
breath test refusal lawyer ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
civil protection order lawyer delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
cpo defense attorney ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
cpo lawyer delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
criminal attorney delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
criminal defense attorney delaware ohio,USD,,50,10-100,0%,0%,High,73,"","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
criminal defense lawyer delaware county ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
criminal defense lawyer delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
criminal lawyer delaware ohio,USD,,"","","","","","","","","","","","","April 1, 2025 - March 31, 2026",Mango Law Google Ads 133-925-6176,1419725226,Mango SEO 50 keyword validation 2026-05-03,2026-05-03 10:15 EDT
