platform,issue,owner,access_needed,risk,next_action,notes
BrightLocal core location,"Core record is partly corrected, but service list still reverted from the current OVI/criminal-defense campaign priorities.",Primary browser owner,admin write,"High local SEO risk if BrightLocal core services drift from campaign priorities; do not touch billing.","Re-open BrightLocal core location, confirm 417 phone/category state still holds, and align services to OVI / DUI Defense, Criminal Defense, Domestic Violence Defense, Drug Charge Defense, and License Suspension Defense.","Location ID 3937875; source docs say business phone is corrected to 740-417-6191 and Personal injury attorney is no longer selected."
BrightLocal Citation Builder,"Citation Builder campaign still shows 740-602-2155 as business/mobile phone and a blank description.",Primary browser owner,admin write,"High NAP propagation risk because Citation Builder may continue pushing Nick's direct cell as the public/default line.","Update Citation Builder business phone to 740-417-6191, avoid leaving 602 as public/default, fill criminal-defense-focused description, and verify after save.","Campaign 921991; this is first priority before downstream citation cleanup."
Google Business Profile,"GBP-facing category/service language still needs one manual review against criminal-defense and OVI priorities.",Primary browser owner,browser read/admin write if saving,"Medium local positioning risk; avoid changing NAP that is already aligned.","Review GBP categories/services/description for OVI, criminal defense, domestic violence, drug charges, and license suspension; save only with explicit authorization.","Do not rewrite Mango Law LLC to Mango Law only; Mango Law is acceptable as a display variant."
Apple Business Connect,"Apple Maps display variant Mango Law is acceptable, but no direct Apple account was created by BrightLocal.",Primary browser owner,browser read/admin write if claiming,"Low current NAP risk; future ownership risk if Apple cannot be directly controlled.","Leave display-name variant alone; claim Apple Business Connect only if ongoing edit control is needed.","Apple claim may require phone/2FA, so this needs the primary browser owner or client coordination."
Justia,"Existing attorney profile has old Columbus address and 614 phone; proof review and Nick-email verification are in progress.",Primary browser owner,browser/admin varies,"High legal-directory NAP risk while stale address/phone remain live.","Wait for Justia proof review, then replace old address/phone with 43 S Franklin St, 740-417-6191, https://mango.law, and current public email.","Bar-card proof was sent on 2026-04-08 and Justia was given Nick's direct firm email for verification."
Avvo,"Info@mango.law account is recovered, but Dominic Leo Mango profile is already claimed by a different Avvo account.",Primary browser owner,browser/admin varies,"High legal-directory NAP risk because P.O. Box profile data remains live and current owner is unknown.","Use Avvo support or account recovery to identify/transfer the claimed profile before correcting address, phone, and website.","Do not create duplicate attorney profiles."
Martindale-Hubbell,"Submitted edit request from 2026-03-24 is still the active path for the P.O. Box listing.",Primary browser owner,browser read/support escalation if needed,"Medium legal-directory NAP risk if stale P.O. Box remains after review.","Recheck after review window; escalate only if the stale listing remains unchanged.","No fresh duplicate submission needed from the docs."
Yelp,"NAP is now aligned, but Personal Injury Law still appears alongside Criminal Defense Law and DUI Law.",Primary browser owner,admin write,"Medium category-positioning risk; avoid personal-injury drift unless approved.","Use recovered Yelp owner session to prune Personal Injury Law only if Yelp persists the category edit cleanly.","Managed BrightLocal/burst-email account path exists."
YellowPages,"Primary listing is mostly correct but still has extra phone clutter and old-domain clutter; claim flow loops around phone verification.",Primary browser owner,admin write,"High NAP/entity risk because mixed phones and domains can reinforce stale data.","Resume claim inside the info@mango.law owner account, complete phone verification, then remove extra phones and mangolaw.com clutter.","Claim reached phone verification before session dropped back to claim entry page."
ReachAttorneys,"Approved owner account routes Edit Listing to a blank draft post instead of live listing 301513.",Primary browser owner/support owner,support escalation,"High NAP/category risk; live listing still shows old mangolaw.com, smith@mangolaw.com, 602 phone, and Personal Injury positioning.","Escalate to ReachAttorneys webmasters/support to connect the owner account to live listing 301513 or update fields directly.","Structural blocker points to hidden post 481379 and preview returns 404."
ezlocal,"BrightLocal-managed claim path is usable, but listing still needs current claim PIN verification.",Primary browser owner,admin write,"Medium NAP risk until verification allows final ownership/control.","Use recovered burst-email managed account and current PIN to finish verification, then recheck NAP fields.","Original welcome email exposes an ezlocal-specific password that differs from the generic BrightLocal note."
US-Info,"Managed account login works, but direct public/detail access triggers vendor abuse controls.",Primary browser owner/support owner,browser/admin varies,"Medium update risk; repeated aggressive access may lock or block the vendor path.","Use a slower manual pass or vendor support/update route to confirm and edit fields.","Do not automate repeated direct-detail requests."
Storeboard,"Managed account was edited and public email/hours were corrected.",Local SEO owner,no admin,"Low current risk; only future drift monitoring needed.","Keep managed credentials documented and recheck only if profile drifts.","Public email is office@mango.law and Monday hours are 9:00 AM - 5:00 PM."
Yahoo Local,"Business-name rendering is inconsistent as Mango Nick - Mango Law.",Primary browser owner,admin write,"Medium entity risk from attorney-name/business-name inversion.","Claim or access the listing and normalize display name to Mango Law LLC or acceptable Mango Law variant.","BrightLocal flags name inconsistency."
DexKnows,"Business-name variant is inconsistent.",Primary browser owner,admin write,"Medium entity risk from inconsistent citation naming.","Claim the listing and normalize the display name.","Grouped with Yahoo Local in the BrightLocal NAP audit."
LawyerLand,"Listing persists old 46 N Sandusky address and missing postcode.",Primary browser owner/support owner,admin write/support escalation,"High address-consistency risk from old-office citation.","Request an update or replacement with 43 S Franklin St, Delaware, OH 43015.","Requires claim or support access."
LocalStack,"Listing persists old 46 N Sandusky St Ste 204 address and short-name variant.",Primary browser owner,admin write,"High address-consistency risk from old-office citation.","Claim the listing and replace old Sandusky address with current Franklin address.","Requires claim access."
ChamberOfCommerce.com,"Citation Tracker treats as potential/not listed despite public snippet evidence.",Primary browser owner,browser/admin varies,"Low-to-medium opportunity risk; not as urgent as stale wrong listings.","Verify whether listing is real and claimable; otherwise build a fresh canonical listing using info@mango.law.","Use canonical NAP only."
Bing Places,"Bing is discoverable but no separate claimed Bing Places admin path is confirmed.",Primary browser owner,admin write,"Medium control risk if Bing listing is unmanaged.","Claim or create the Bing Places dashboard record using canonical NAP.","Avoid billing/campaign surfaces."
Superpages,"BrightLocal Citation Tracker treats as potential/not listed.",Primary browser owner,admin write,"Low-to-medium citation coverage gap.","Build or claim a Superpages listing using canonical NAP.","Do after BrightLocal and higher-value stale citations."
HG.org,"No current public listing surfaced in April 6 web checks.",Primary browser owner/support owner,browser/admin varies,"Low-to-medium legal-directory coverage gap.","Open a fresh HG.org submission or support request with canonical NAP.","Use info@mango.law where a new account is needed."
LawInfo,"No current public listing surfaced in April 6 web checks.",Primary browser owner/support owner,browser/admin varies,"Low-to-medium legal-directory coverage gap.","Open a fresh LawInfo submission or support request with canonical NAP.","Use info@mango.law where a new account is needed."
Legal/local backlinks,"Ahrefs backlink and local citation opportunities still need validation.",SEO lead,browser read or no admin,"Low current risk; outreach should not start without separate approval.","After Ahrefs access is assigned, build a watchlist of trustworthy legal, local, court, community, and resource-link opportunities.","Ahrefs should validate opportunities, not replace page-fit judgment."
Reviews,"Review trust assets support conversion but no live review-generation workflow is assigned here.",Local SEO owner,no admin,"Medium conversion-support risk if review growth is ignored after NAP cleanup.","Add a future review-building task after BrightLocal and citation cleanup are stable.","Do not solicit or automate reviews from this workbook phase."
