keyword,tracking_group,owner_page,priority,planner_account,date_captured,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,top_of_page_bid_low,top_of_page_bid_high,location_target,language,source_status,next_action,notes
delaware ohio ovi lawyer,Core OVI,/ovi-dui-defense-delaware-oh,P0,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,50,Infinity,Infinity,High,100,"","",United States,All languages,Captured via Google Ads Keyword Planner historical metrics export,"Use for BrightLocal alignment, page-owner QA, and content prioritization","Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Google showed bucketed UI volume; export value is the bucket midpoint; Infinity change means Google showed new/no prior-period comparable volume"
dui lawyer delaware ohio,Core OVI,/ovi-dui-defense-delaware-oh,P0,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
ovi attorney delaware ohio,Core OVI,/ovi-dui-defense-delaware-oh,P0,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
delaware county ovi lawyer,Core OVI,/ovi-dui-defense-delaware-oh,P0,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
delaware county dui lawyer,Core OVI,/ovi-dui-defense-delaware-oh,P0,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,50,0%,-90%,Medium,45,10.51,46.15,United States,All languages,Captured via Google Ads Keyword Planner historical metrics export,"Use for BrightLocal alignment, page-owner QA, and content prioritization","Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Google showed bucketed UI volume; export value is the bucket midpoint"
ovi lawyer near delaware ohio,Core OVI,/ovi-dui-defense-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
delaware ohio dui attorney,Core OVI,/ovi-dui-defense-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
dui attorney delaware county ohio,Core OVI,/ovi-dui-defense-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
ovi defense lawyer delaware ohio,Core OVI,/ovi-dui-defense-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
first offense ovi lawyer delaware ohio,Core OVI,/ovi-dui-defense-delaware-oh,P1,Mango Law Google Ads 133-925-6176; plan 1419725226,2026-05-03,"","","","","","","",United States,All languages,Captured via Google Ads Keyword Planner; no row-level volume returned,Retain as validated long-tail/legal-intent term; monitor GSC and BrightLocal before expanding content,"Keyword Planner plan saved in Mango Ads as Mango SEO 50 keyword validation 2026-05-03; date range Apr 1 2025-Mar 31 2026; targeting United States / all languages / Google; no campaign, billing, or spend action taken; Blank metrics indicate Google returned no measurable row-level volume for this saved keyword under current account access"
