url,priority,expected_owner_role,jan_2026_status,current_status,action_needed,notes
https://mango.law/,P0,Homepage / firm positioning,On Google; live test available; indexing requested Jan 27 2026,Property overview checked 2026-04-24; URL Inspection not rerun in this pass,Recheck only if homepage performance drops or canonical/internal-link issues appear,"GSC performance sample still shows homepage as a top page; lower immediate risk than not-indexed commercial owners."
https://mango.law/ovi-dui-defense-delaware-oh,P0,Primary OVI/DUI commercial owner,URL unknown; live test available to Google,URL Inspection checked 2026-04-24: URL is on Google; page indexed; HTTPS served; Breadcrumbs 1 valid; FAQ 1 valid,Monitor ranking and lead behavior; no indexing request needed,"Highest-priority OVI owner is indexed and valid; /delaware-ohio-ovi-lawyer remains a redirect note only."
https://mango.law/criminal-defense-delaware-oh,P0,Primary criminal-defense commercial owner,Server error 5xx example in Pages report; prior URL Inspection priority,URL Inspection checked 2026-04-24: URL is on Google; page indexed; HTTPS served; Breadcrumbs 1 valid; FAQ 1 valid,Monitor Pages report until the old 5xx item clears,"Primary criminal-defense owner is currently indexable/indexed despite older Jan 2026 5xx evidence."
https://mango.law/about,P0,Attorney trust support,Server error 5xx example in Pages report; URL Inspection table also showed indexed/live-test available,URL Inspection checked 2026-04-24: URL is on Google; page indexed; HTTPS served; Breadcrumbs 1 valid,No indexing request needed; keep as trust/internal-link support,"Attorney trust page is indexed; no FAQ enhancement expected."
https://mango.law/contact,P0,Conversion support,On Google; live test available to Google,URL Inspection checked 2026-04-24: URL is on Google; page indexed; HTTPS served; Breadcrumbs 1 valid,No indexing request needed; validate lead/call events separately in GA4,"Conversion support page is indexed; reporting risk is event validation rather than indexing."
https://mango.law/drug-crime-lawyer-delaware-oh,P1,Commercial drug-crimes owner,Not specifically captured in Jan URL Inspection table; sitemap submitted successfully with low overall coverage,Google Index checked 2026-04-24: URL is not on Google; Discovered - currently not indexed. Live test: URL is available to Google; Page can be indexed; Breadcrumbs 1 valid; FAQ 1 valid,Request indexing after explicit action-time confirmation; strengthen internal links from criminal-defense and drug-support content,"Sitemap discovered; referring page visible as /blog/super-bowl-dui-checkpoints-ohio. No technical block found in live test."
https://mango.law/protection-order-lawyer-delaware-oh,P1,Commercial protection-order owner,Not specifically captured in Jan URL Inspection table; sitemap submitted successfully with low overall coverage,Google Index checked 2026-04-24: URL is not on Google; Discovered - currently not indexed. Live test: URL is available to Google; Page can be indexed; Breadcrumbs 1 valid; FAQ 1 valid,Request indexing after explicit action-time confirmation; strengthen internal links from DV/CPO support content,"Sitemap discovered; referring page visible as /blog. No technical block found in live test."
https://mango.law/domestic-violence-lawyer-delaware-oh,P1,Commercial/support domestic-violence owner,Not specifically captured in Jan URL Inspection table; sitemap submitted successfully with low overall coverage,Google Index checked 2026-04-24: URL is not on Google; Discovered - currently not indexed. Live test: URL is available to Google; Page can be indexed; Breadcrumbs 1 valid; FAQ 1 valid,Request indexing after explicit action-time confirmation; reinforce links from homepage criminal-defense and DV support pages,"Task queue ownership is now resolved: this page owns local DV commercial terms; /domestic-violence-first-offense-ohio-defense is support."
https://mango.law/als-license-suspension-ohio,P1,OVI support owner,Not specifically captured in Jan URL Inspection table; sitemap submitted successfully with low overall coverage,Google Index checked 2026-04-24: URL is not on Google; Discovered - currently not indexed. Live test: URL is available to Google; Page can be indexed; Breadcrumbs 1 valid; FAQ 1 valid,Request indexing after explicit action-time confirmation; link from first OVI / refusal / Liv's Law content,"Sitemap discovered; referring pages visible as /first-offense-ovi-ohio and homepage."
https://mango.law/ovi-test-refusal-lawyer-ohio,P1,OVI support owner,Not specifically captured in Jan URL Inspection table; sitemap submitted successfully with low overall coverage,Google Index checked 2026-04-24: URL is not on Google; Discovered - currently not indexed. Live test: URL is available to Google; Page can be indexed; Breadcrumbs 1 valid; FAQ 1 valid,Request indexing after explicit action-time confirmation; link from OVI owner and Liv's Law content,"Sitemap discovered; referring pages visible as /ovi-checkpoints-ohio and homepage."
