page,lane,geo,owns_keywords,supports_keywords,status,risk,notes
/,Homepage / firm positioning,"Delaware, Delaware County, Central Ohio",branded firm and broad local discovery,"OVI/DUI defense; criminal defense; contact conversion",Live support,"Do not assign broad commercial tracked terms here","In sitemap; Jan 2026 GSC audit reported indexed and indexing requested."
/ovi-dui-defense-delaware-oh,Delaware OVI/DUI defense,"Delaware, Delaware County, Ohio","delaware ohio ovi lawyer; dui lawyer delaware ohio; ovi attorney delaware ohio","ALS; refusal; first offense; felony OVI; motion to suppress; checkpoints",Live owner,"High-value page had URL unknown in Jan 2026 GSC audit","Primary commercial OVI owner per task queue and setup brief; in sitemap and navigation."
/delaware-ohio-ovi-lawyer,Redirected historical OVI URL,"Delaware, Delaware County",None,"Historical local OVI signal only",Redirected / no separate owner,"Cannibalization risk if treated as separate owner","Route exists but code permanently redirects to /ovi-dui-defense-delaware-oh; not in sitemap."
/criminal-defense-delaware-oh,Criminal defense,"Delaware, Delaware County","criminal defense attorney delaware ohio; criminal lawyer delaware ohio","domestic violence; protection orders; drug crimes; sex crimes; white collar; weapons",Live owner,"Jan 2026 GSC audit listed URL in Server error 5xx examples","Primary criminal-defense owner per task queue and setup brief; in sitemap and navigation."
/drug-crime-lawyer-delaware-oh,Drug crimes,"Delaware, Delaware County","drug crime lawyer delaware ohio; drug possession attorney delaware ohio","drug possession vs trafficking; search and seizure; motion practice",Live owner,"Needs Planner/GSC evidence before expanding tracked set","Commercial owner per task queue; in sitemap and navigation."
/protection-order-lawyer-delaware-oh,Protection orders,"Delaware, Delaware County, Ohio","protection order lawyer delaware ohio; cpo defense attorney ohio","civil protection orders; no-contact orders; domestic violence",Live owner,"Overlap with domestic violence pages needs owner clarity","Commercial owner per task queue; in sitemap and navigation."
/domestic-violence-lawyer-delaware-oh,Domestic violence,"Delaware, Delaware County","domestic violence lawyer delaware ohio; domestic violence defense attorney delaware ohio","first offense domestic violence; no-contact orders; protection orders",Live owner / confirmation needed,"Potential ownership split with /domestic-violence-first-offense-ohio-defense","Setup brief says confirm which route owns commercial local terms after Planner/Ahrefs validation."
/domestic-violence-first-offense-ohio-defense,Domestic violence first offense,Ohio,"first offense domestic violence ohio","domestic violence process questions; supports /domestic-violence-lawyer-delaware-oh",Live support owner,"May cannibalize commercial DV owner if promoted too broadly","In sitemap and linked as support content; owns only first-offense/problem-aware support terms, not local commercial DV terms."
/als-license-suspension-ohio,License suspension / ALS,Ohio,"als suspension ohio lawyer; license suspension lawyer ohio","ovi license suspension ohio; supports /ovi-dui-defense-delaware-oh",Live support owner,"Promote only if Planner/GSC support exists","OVI support page per task queue; in sitemap and navigation. Owns ALS/license-suspension support terms only."
/ovi-test-refusal-lawyer-ohio,OVI test refusal,Ohio,"ovi test refusal lawyer ohio; field sobriety test refusal ohio; breath test refusal lawyer ohio","chemical test refusal; supports /ovi-dui-defense-delaware-oh",Live support owner,"Not the owner for broader OVI terms","OVI refusal support page per task queue; in sitemap and navigation. Owns refusal support terms only."
/motion-to-suppress-ovi-ohio,Motion to suppress OVI,Ohio,"motion to suppress ovi ohio","suppress breath test; suppress traffic stop; supports /ovi-dui-defense-delaware-oh",Live support owner,"Problem-aware queries only; avoid broad OVI ownership","OVI support page per task queue; in sitemap and navigation. Owns suppression support terms only."
/first-offense-ovi-ohio,First offense OVI,Ohio,"first offense ovi ohio","first dui ohio; supports /ovi-dui-defense-delaware-oh",Live support owner,"Track only if keyword evidence supports dedicated slot","In sitemap and OVI navigation as support page. Owns first-offense support terms only."
/felony-ovi-lawyer-ohio,Felony OVI,Ohio,"felony ovi lawyer ohio","felony dui ohio; supports /ovi-dui-defense-delaware-oh",Live support owner,"High-value but likely evidence-dependent","In sitemap and OVI navigation as support page. Owns felony OVI support terms only."
/resources/dui-checkpoints,DUI checkpoint resource,"Ohio, Delaware, Columbus, Central Ohio","ohio dui checkpoints if freshness is maintained","OVI/DUI resource discovery; local checkpoint questions",Live resource owner,"Recency/update risk; track only while maintained","Task queue calls this a resource owner and local recency asset; in sitemap and navigation."
/ovi-checkpoints-ohio,OVI checkpoint resource,Ohio,"ohio ovi checkpoints","dui checkpoint rights ohio; supports /resources/dui-checkpoints and /ovi-dui-defense-delaware-oh",Live resource owner,"Potential duplicate topic with /resources/dui-checkpoints","In sitemap; support/resource owner paired with checkpoint guide. Owns OVI-checkpoint support term only if freshness is maintained."
/holiday-ovi-enforcement-ohio,Holiday OVI enforcement,Ohio,None,"holiday ovi enforcement ohio; dui enforcement ohio",Live resource support,"Seasonal freshness risk","In sitemap; supports OVI/checkpoint recency content."
/glossary,Glossary / statutes,Ohio,"ORC and legal-definition long-tail where entry exists","commercial practice pages via internal links",Live informational owner,"Avoid cannibalizing commercial practice pages","Task queue marks glossary as informational/statute hub; in sitemap and navigation."
/white-collar-crimes-attorney-delaware-oh,White collar crimes,"Delaware, Delaware County","white collar crime attorney delaware ohio if evidence supports","fraud; theft; embezzlement; document-heavy investigations",Live owner,"Likely lower-volume; require Planner/Ahrefs support","Commercial lane in task queue and practice area data; in sitemap and navigation."
/sex-crime-defense-lawyer-delaware-oh,Sex crimes,"Delaware, Delaware County","sex crime lawyer delaware ohio if strong evidence supports","sexual battery defense ohio; sensitive criminal defense terms",Live owner,"Sensitive reputation lane; track cautiously","Commercial lane in task queue and practice area data; in sitemap and navigation."
/personal-injury-lawyer-delaware-oh,Personal injury,"Delaware, Delaware County","personal injury lawyer delaware ohio only if separately approved","limited secondary PI discovery",Secondary owner,"Do not consume core criminal-defense tracker capacity","Setup brief and task queue both mark PI as secondary; in sitemap."
/practice-areas,Practice areas hub,"Delaware, Delaware County, Central Ohio",None,"internal links to OVI, criminal defense, DV, protection order, drug, sex, white collar, PI",Live support,"Should not own specific high-intent practice terms","Jan 2026 GSC audit reported indexed; in sitemap and navigation."
/locations,Service areas / local discovery,"Delaware, Franklin, Union, Morrow, Marion, Central Ohio",None,"county and city discovery support; internal links to practice owners",Live support,"Jan 2026 GSC audit reported URL unknown before indexing request","Use for local discovery support; county pages preferred over thin city pages."
/contact,Intake / conversion,"Delaware, Delaware County, Central Ohio",None,"lead conversion reporting for all tracked lanes",Live conversion support,"Not a keyword owner","Jan 2026 GSC audit reported indexed; in sitemap and About navigation."
/reviews,Trust / conversion support,"Delaware, Delaware County, Central Ohio",None,"local trust; decision-stage support",Live support,"Jan 2026 GSC audit showed indexing churn","Use for trust and local proof, not primary keyword ownership."
/about,Attorney trust / credentials,"Delaware, Delaware County, Central Ohio",None,"branded, E-E-A-T, internal trust support",Live support,"Jan 2026 GSC audit listed URL in Server error 5xx examples but inspection also showed indexed","In sitemap and navigation; support page only."
/of-counsel,Of counsel trust support,"Delaware, Central Ohio",None,"complex-matter trust support",Live support,"No tracked keyword ownership assigned","In sitemap and About navigation."
/blog,Blog hub,Ohio,None,"problem-aware legal content and internal discovery",Live informational support,"Should not own specific commercial terms","Jan 2026 GSC audit reported indexed; in sitemap and navigation."
/blog/motion-practice-criminal-defense,Criminal process blog,Ohio,None,"motion practice; criminal defense process; support for criminal-defense owner",Live informational support,"Jan 2026 examples included Crawled - currently not indexed but URL inspection table reported indexed","Included in Jan 2026 GSC audit as blog support content."
/blog/ohio-dui-lookback-period,OVI process blog,Ohio,None,"ohio dui lookback period; prior OVI consequences",Live informational support,"Jan 2026 GSC audit reported URL unknown","Included in Jan 2026 GSC audit as OVI support content."
/civil-protection-order-defense-ohio,Civil protection order support,Ohio,"civil protection order defense ohio","ex parte cpo defense; supports /protection-order-lawyer-delaware-oh",Live support owner,"Overlap with /protection-order-lawyer-delaware-oh requires clear internal linking","In sitemap and linked as protection-order support content. Owns statewide CPO support terms only."
/drug-possession-vs-trafficking-ohio-defense,Drug charge support,Ohio,"drug possession vs trafficking ohio","drug charge severity questions; supports /drug-crime-lawyer-delaware-oh",Live support owner,"Should support not replace Delaware drug-crime owner","In sitemap and linked as drug-defense support content. Owns possession-vs-trafficking support terms only."
/privacy,Legal policy page,Sitewide,None,None,Live no SEO ownership,"Jan 2026 GSC audit reported URL unknown","In sitemap; keep crawlable but do not allocate keyword ownership."
/terms,Legal policy page,Sitewide,None,None,Live no SEO ownership,"Jan 2026 GSC audit reported URL unknown","In sitemap; keep crawlable but do not allocate keyword ownership."
