keyword,lane,owner_page,geo,decision,evidence_tier,priority,tracking_group,reporting_goal,notes
delaware ohio ovi lawyer,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware OH,Track now,Owner fit + public SERP confirmation,P0,Core OVI,Rank and local-pack visibility,Primary commercial OVI term with redirected historical URL treated only as support signal.
dui lawyer delaware ohio,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware OH,Track now,Owner fit + close variant,P0,Core OVI,Rank and local-pack visibility,High-intent DUI wording for same Delaware OVI owner page.
ovi attorney delaware ohio,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware OH,Track now,Owner fit + close variant,P0,Core OVI,Rank and local-pack visibility,Attorney wording captures high-intent OVI searches.
delaware county ovi lawyer,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware County OH,Track now,Owner fit + local court relevance,P0,Core OVI,Rank and local-pack visibility,County modifier aligns with Delaware Municipal Court and OVI docket relevance.
delaware county dui lawyer,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware County OH,Track now,Owner fit + close variant,P0,Core OVI,Rank and local-pack visibility,County DUI variant for users who do not search Ohio OVI terminology.
ovi lawyer near delaware ohio,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware OH,Track now,Owner fit + close variant,P1,Core OVI,Rank and local-pack visibility,Near-me style variant mapped to the Delaware OVI owner page.
delaware ohio dui attorney,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware OH,Track now,Owner fit + close variant,P1,Core OVI,Rank and local-pack visibility,Additional DUI attorney phrasing for the same commercial intent.
dui attorney delaware county ohio,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware County OH,Track now,Owner fit + close variant,P1,Core OVI,Rank and local-pack visibility,County attorney phrasing expands the local OVI set without using the redirected URL as owner.
ovi defense lawyer delaware ohio,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware OH,Track now,Owner fit + source-code route/content fit,P1,Core OVI,Rank and local-pack visibility,Defense modifier is aligned with the live OVI defense page.
first offense ovi lawyer delaware ohio,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware OH,Track now,Owner fit + close variant,P1,Core OVI,Rank and local-pack visibility,Local first-offense commercial query should report against the Delaware OVI owner page.
criminal defense attorney delaware ohio,Criminal defense,/criminal-defense-delaware-oh,Delaware OH,Track now,Owner fit + public SERP confirmation,P0,Core criminal defense,Rank and local-pack visibility,Primary criminal-defense commercial term.
criminal lawyer delaware ohio,Criminal defense,/criminal-defense-delaware-oh,Delaware OH,Track now,Owner fit + close variant,P0,Core criminal defense,Rank and local-pack visibility,Short-form commercial synonym.
delaware ohio criminal defense attorney,Criminal defense,/criminal-defense-delaware-oh,Delaware OH,Track now,Owner fit + public SERP confirmation,P0,Core criminal defense,Rank and local-pack visibility,Exact local construction used by Mango page and title copy.
delaware county criminal defense attorney,Criminal defense,/criminal-defense-delaware-oh,Delaware County OH,Track now,Owner fit + local court relevance,P0,Core criminal defense,Rank and local-pack visibility,County modifier for broader local criminal-defense discovery.
