date_checked,source_type,source_name,url,status,evidence,implication
2026-05-03,production_db,dui_checkpoints via Supabase anon,https://rgucewewminsevbjgcad.supabase.co,checked,"0 upcoming public rows; 0 rows from 2026-05-01 through 2026-05-07; four April 24 rows present","Public no-upcoming state is not contradicted by DB, but May-window dataset is empty"
2026-05-03,production_db,scraper_logs via Supabase anon,https://rgucewewminsevbjgcad.supabase.co,checked,"Latest checkpoint-scraper log is 2026-04-24T23:26:22.753Z with trigger=manual; no visible run after April 24","Scheduled every-four-hours scraper path lacks visible evidence and needs admin-side cron/pg_net inspection"
2026-05-03,upstream_aggregator,OVICheckpoint WordPress JSON,https://www.ovicheckpoint.com/wp-json/wp/v2/pages/1078,checked,"Parsed two April 30 2026 Stark/Lake Township rows; no Cinco or May 5 row found","Upstream has rows missing from production, so ingestion is stale even if no May 5 announcement exists"
2026-05-03,upstream_aggregator,OVICheckpoint public page,https://www.ovicheckpoint.com/,checked,"Public page shows April 30 Stark/Lake Township rows and April 24 Canton/Trotwood rows; no May rows parsed","Direct scraper source should be rerun or cron fixed"
2026-05-03,public_media,Cleveland19,https://www.cleveland19.com/2026/04/30/stark-county-sheriffs-office-continues-april-sobriety-checkpoints/,checked,"Article says Stark County Sheriff's Office announced continued April sobriety checkpoints in Lake Township","Supports April 30 Stark event as more than aggregator-only"
2026-05-03,public_media,AOL / Canton Repository,https://www.aol.com/articles/deputies-police-2-sobriety-checkpoints-161814176.html,checked,"Article gives April 30 Lake Township locations/times: 3300 block State Street NW 6-8:30 and 9900 block Cleveland Avenue NW 8:30-11","Use for manual review/backfill because it conflicts with OVICheckpoint timing for first row"
2026-05-03,public_rss,Google News RSS checkpoint + Cinco/May query,https://news.google.com/rss/search?q=%28OVI%20checkpoint%20OR%20DUI%20checkpoint%20OR%20sobriety%20checkpoint%20OR%20%22traffic%20safety%20checkpoint%22%29%20Ohio%20%28%22May%205%22%20OR%20%22Cinco%20de%20Mayo%22%20OR%20%22May%203%22%20OR%20%22May%204%22%20OR%20%22May%206%22%29&hl=en-US&gl=US&ceid=US:en,checked,"0 items returned","No RSS-confirmed Ohio Cinco de Mayo checkpoint announcement found in this pass"
2026-05-03,public_rss,Google News RSS Ohio checkpoint last 7 days,https://news.google.com/rss/search?q=%28OVI%20checkpoint%20OR%20DUI%20checkpoint%20OR%20sobriety%20checkpoint%29%20Ohio%20when%3A7d&hl=en-US&gl=US&ceid=US:en,checked,"0 items returned","RSS discovery missed known April 30 public-media coverage from general web search"
2026-05-03,official_program_context,Ohio Traffic Safety Office FFY2026 OVI Task Force proposal information,https://dam.assets.ohio.gov/image/upload/otso.ohio.gov/grants/FFY2026-OVI-Task-Force-Information.pdf,checked,"Lists FFY2026 OVI task force checkpoint minimums for counties including Stark, Franklin, Montgomery, Summit, and others","Useful program context only; not a specific checkpoint announcement"
2026-05-03,public_site,Mango Law DUI checkpoint page,https://mango.law/resources/dui-checkpoints,checked,"Page says no announced checkpoints at this time; includes Cinco de Mayo and early May weekends seasonal watch language; shows three pending-detail cards","Public copy is defensible today, but missing April 30 rows and stale scraper evidence weaken freshness claims"
2026-05-03,public_site,Mango Law OVI checkpoints guide,https://mango.law/ovi-checkpoints-ohio,checked,"Page returns 200 and contains checkpoint guide content; no Cinco de Mayo phrase found","Potential future low-risk AEO/internal-link update, outside this workstream"
2026-05-03,public_media,Cleveland19/WOIO,https://www.cleveland19.com/2026/05/02/solon-police-conduct-sobriety-checkpoints-cinco-de-mayo/,checked,"Article reports Solon Police announced sobriety checkpoints for Tuesday, May 5, 2026, in the Aurora Road area; no exact time window published","Use as pending announcement only until official or media source publishes exact time/location detail"
2026-05-03,production_edge_function,checkpoint-scraper,https://rgucewewminsevbjgcad.supabase.co/functions/v1/checkpoint-scraper,triggered,"Manual run before curated deploy returned success true: 2 new checkpoints, 306 updated, 7 announcements upserted","Manual Edge Function invocation path is healthy; cron still needs separate proof"
2026-05-03,production_edge_function,checkpoint-scraper curated deploy,https://supabase.com/dashboard/project/rgucewewminsevbjgcad/functions,complete,"Deployed checkpoint-scraper after adding curated Solon/Cinco pending-announcement seed","Future scraper runs preserve the Solon pending announcement without relying on RSS/search discovery"
2026-05-03,production_edge_function,checkpoint-scraper,https://rgucewewminsevbjgcad.supabase.co/functions/v1/checkpoint-scraper,triggered,"Manual run after curated deploy returned success true: 0 new checkpoints, 308 updated, 15 announcements upserted","Curated seed was processed by production function"
2026-05-03,production_db,dui_checkpoint_announcements via Supabase anon,https://rgucewewminsevbjgcad.supabase.co,checked,"Verified Solon/Cinco pending announcement id f1660f3f-fc39-4ef0-83a9-a0ac51c2a9ba; event_date 2026-05-05; status pending_details; source Cleveland19/WOIO","Production DB source of truth now contains the public Solon Cinco de Mayo signal"
2026-05-03,local_site,Mango Law DUI checkpoint page,http://localhost:3023/resources/dui-checkpoints,checked,"Local frontend output contains Solon and Aurora Road after production DB update","Corrected frontend source renders the pending announcement; production display requires frontend deployment"
