platform,listing_url,brightlocal_status,live_status,claimed_status,account_email,credential_source,business_name_match,address_match,primary_phone_match,secondary_phone_present,website_match,category_match,public_email_match,next_action,blocker,evidence
Google Business Profile,https://www.google.com/business/,Citation Tracker shows Google active and correct for name/address/phone; Active Sync now mainly reflects residual display-name and category review after the April 8 BrightLocal core correction,accurate_live,managed_listing_needs_manual_review,info@mango.law,BrightLocal Citation Tracker plus Active Sync email alerts in Gmail,Y,Y,Y,Y,Y,N,N/A,Leave the NAP alone and keep GBP aligned with the corrected BrightLocal core record; review only any remaining category or service drift directly in GBP,Current category or service state still needs one manual GBP review,"BrightLocal CT report 2370975 plus Gmail messages 19ceee22754e4d16, 19ca737138c25b6c, 19c5f14d9449b6ef, 19c3a2c9043bf46b, 19bf3c1c94708c94, 19baad658b18a211"
Apple Maps / Apple Business Connect,https://mapsconnect.apple.com/,Citation Tracker shows Apple active with acceptable short-name variant; Citation Builder marks Apple edits as pending moderator approval and no account was created,accurate_live,self_claim_recommended,info@mango.law,"BrightLocal Citation Tracker, Citation Builder, and Active Sync alert in Gmail",Y,Y,Y,Unknown,Unknown,Unknown,N/A,"Accept Mango Law as the display variant, then claim Apple Business Connect directly if ongoing edit control is needed",BrightLocal did not create an Apple account because Apple claim requires 2FA tied to a phone,"BrightLocal CT report 2370975, CB campaign 921991, and Gmail thread 19d5a873940eaaa4 forwarded in 19d5e828a7e424ad"
Justia,https://lawyers.justia.com/lawyer/dominic-leo-mango-481927,Historical tracker already flagged an existing profile,live_wrong_nap,claim_in_review_after_proof_submission,info@mango.law,Justia claim emails in Gmail,N,N,N,N,N,Y,N,"Wait for Justia to finish the proof review and Nick-email verification, then replace Columbus address and 614 phone with canonical Mango data and add website","Justia is reviewing the bar-card proof and now has Nick's direct firm email for the verification step.","Public Justia listing shows 713 S Front St Columbus OH 43206 and (614) 444-3036; Gmail 19cb05a06e4e2538, 19cf83c1fd7fe644, and the 2026-04-08 follow-up thread requesting Nick's direct firm email"
Avvo,https://www.avvo.com/attorneys/43015-oh-dominic-mango-505764.html,Historical tracker already flagged an existing profile,live_wrong_nap,account_recovered_profile_already_claimed,info@mango.law,Avvo welcome email in Gmail plus successful password-reset request and live claim-search verification,N,N,N,N,N,Y,N,"Use Avvo account recovery or support to determine which account already owns the Dominic Leo Mango profile, then transfer or recover that profile access before replacing the P.O. Box details with 43 S Franklin St, the canonical phone, and the current website.","The info@mango.law Avvo login is now recovered, but Avvo's live claim search says the Dominic Leo Mango attorney profile has already been claimed by a different account.",Public Avvo listing shows P.O. Box 483 Delaware OH 43015; Gmail 19c8c24b43bcc503 and 19d688f250cfca09; password reset completed and account settings opened in the live browser on 2026-04-07; live claim search for Dominic Mango near 43015 reported This profile has already been claimed
Martindale-Hubbell,https://www.martindale.com/attorney/dominic-l-mango-157975081/,Historical tracker already flagged an existing profile,live_wrong_nap,manual_update_submitted_pending_review,info@mango.law,Existing public profile plus manual update path plus Martindale review email to tim@sistrunktech.com,N,N,N,Unknown,Unknown,Y,N,"Recheck the live Martindale profile after the submitted edit request finishes review, then escalate only if the P.O. Box listing stays live.",Martindale accepted the edit submission but updates are manual-review driven and not yet visible on the public profile.,Public Martindale listing still shows P.O. Box 483 Delaware OH 43015; Martindale email 19d21ce46131b6ea confirms edits were submitted on 2026-03-24 and will appear online after review
FindLaw,"https://lawyers.findlaw.com/criminal-law/ohio/delaware/?keyword=Dominic+Mango&location=Delaware,+Ohio",Historical tracker did not surface a live profile,not_found_can_create,fresh_signup_via_info@mango.law,info@mango.law,No stored credential found; use info@mango.law signup or support path,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Open a fresh FindLaw Profile Update account with info@mango.law and request create-or-claim for the firm/attorney listing,Need first-time signup or support response,No current Mango listing surfaced in tracker or April 6 web checks; use https://pu.findlaw.com/welcome
Nolo,https://www.nolo.com/login,Historical tracker did not surface a live profile,not_found_can_create,fresh_signup_via_info@mango.law,info@mango.law,No stored credential found; use info@mango.law signup or support path,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Open a fresh Nolo account with info@mango.law and verify whether a public attorney profile can be created or claimed,Need first-time signup or support response,No current Mango listing surfaced in tracker or April 6 web checks
Ohio State Bar,https://www.supremecourt.ohio.gov/attorneysearch/#/71238/attyinfo,Tracked in prior local directory work,official_record_exception,official_record,N/A,Official attorney registration record,Unknown,Y,Y,Unknown,N/A,N/A,N/A,Document current details and only change if the official attorney-registration record itself needs to change,Controlled by official attorney registration workflow,Local evidence from 2026-02-12 shows active record with 43 S Franklin St and (740) 602-2155
County Bar (Delaware County),https://www.delawarecountybar.org/member-directory/,Historical tracker found no public listing and a login-gated add-listing flow,blocked_paid_or_member,member_login_required,info@mango.law,Fresh signup path only if membership is active,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Confirm whether Mango already has a member login before spending time on account setup,Member-gated flow and email activation required,Local tracker evidence from 2026-02-12
Delaware Area Chamber,https://business.delawareareachamber.com/list/ql/legal-14,Historical tracker found no live firm listing in the member directory,blocked_paid_or_member,member_login_required,info@mango.law,Fresh signup path only if chamber membership is active,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Confirm whether Mango already has chamber membership before opening a listing workflow,Member-gated directory flow,Local tracker evidence from 2026-02-12
Lawyers.com,https://www.lawyers.com/all-legal-issues/delaware/ohio/law-firms/,Historical tracker could not confirm a free listing path,blocked_paid_or_member,paid_or_support_gate,info@mango.law,No stored credential found; public flow looked paid/support-led,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Do not spend time here unless a free claim path is confirmed from a live session or existing account,Public flow appears paid or marketing-gated,Local tracker evidence from 2026-02-12
ezlocal,https://www.ezlocal.com/oh/delaware/criminal-justice-attorney/098617140,BrightLocal Citation Builder campaign 921991 created a managed login and left the listing in Pending awaiting claim verification,submitted_pending,brightlocal_managed_account_recovered_verification_pending,mangolawoh@burst-email.com,BrightLocal campaign note plus verified burst-email inbox and ezlocal dashboard login,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Use the recovered managed account to finish the ezlocal verification as soon as the current claim PIN is available, then re-check the public NAP fields","The login works, but the claim flow is currently blocked on the active verification PIN","BrightLocal CB campaign 921991, burst-email inbox login verified 2026-04-06, and Gmail 19bae4466a4ecbcc plus 19c20e233f8cd14a"
Yelp,https://www.yelp.com/biz/mango-law-delaware-2,Citation Tracker shows Yelp active; Citation Builder says the listing was updated and a managed Yelp login exists,accurate_live,brightlocal_managed_account_recovered,mangolawoh@burst-email.com,BrightLocal campaign note plus verified burst-email inbox access,Y,Y,Y,Unknown,Y,N,Unknown,"Keep the recovered Yelp owner session available and remove the lingering Personal Injury Law category if Yelp will persist the category edit cleanly.","NAP is now aligned, but Yelp still shows Personal Injury Law alongside Criminal Defense Law and DUI Law in the owner view.","BrightLocal CT report 2370975, CB campaign 921991, and live Yelp for Business business-info view rechecked on 2026-04-08 showing 43 S Franklin St, (740) 417-6191, https://mango.law, Criminal Defense Law, Personal Injury Law, and DUI Law"
YellowPages,https://www.yellowpages.com/delaware-oh/mip/mango-law-496558240,Citation Tracker marks YellowPages active but unable to confirm the address data from the live page scrape; public checks still show extra phone clutter and mixed domains,live_wrong_nap,account_created_phone_verification_pending,info@mango.law,Fresh signup or claim via info@mango.law,Y,Y,Y,Y,N,Y,N,"Resume the YellowPages claim from the logged-in owner account, try to break past the looping claim page or finish phone verification, then remove the extra phone clutter, replace nick@mango.law if editable, and make https://mango.law the primary website.","The owner account session is real, but both the public-listing claim button and the claim form loop back to the initial claim page instead of holding on the ownership-verification step.","BrightLocal CT report 2370975 plus live YellowPages checks on 2026-04-07 showing nick@mango.law, mangolaw.com, and extra phones; owner account created for info@mango.law; logged-in listing session confirmed with Profile/Settings/Log Out links; claim form carried ypid 496558240 but still looped back to the starting claim page"
ChamberOfCommerce.com,https://www.chamberofcommerce.com/business-directory/ohio/delaware/,Citation Tracker still treats ChamberOfCommerce.com as Potential / not listed even though a public directory snippet exists,live_unclaimed,claim_status_unknown,info@mango.law,Fresh signup or claim via info@mango.law,Unknown,Unknown,Unknown,Unknown,Unknown,Y,Unknown,"Verify whether the public listing is real and claimable; if not, build a fresh listing using info@mango.law",BrightLocal has not credited this site as an active citation yet,BrightLocal CT report 2370975 plus public ChamberOfCommerce.com snippet
ReachAttorneys,https://www.reachattorneys.com/lawyers/ohio/delaware-1/mango-law-llc/,Discovered outside the older BrightLocal seed during April 6 citation review,live_wrong_nap,ownership_approved_edit_pending,info@mango.law,Fresh signup via info@mango.law plus live ReachAttorneys registration emails and reset-confirmation mail,Y,Y,N,Unknown,N,N,N,"Escalate to ReachAttorneys webmasters or support, because the approved owner account currently points to a blank draft edit flow instead of the live listing.","Ownership is approved, but the platform's Edit Listing path routes to a blank add-listing form tied to draft post 481379 and does not edit the live listing 301513.","ReachAttorneys GeoDirectory API rechecked on 2026-04-08 shows listing 301513 still live with +1 740-602-2155, https://www.mangolaw.com/, smith@mangolaw.com, and Personal Injury category data; Gmail 19d68a2f1191f656 and 19d68a2ef4a84cf7 confirm account creation, 19d68b0b41e24c5e confirms password reset, 19d68b78fb0f38f7 confirms the claim submission on 2026-04-07, and 19d6d42c5eeb5844 confirms approval on 2026-04-08; the authenticated edit flow fetches a blank form tied to hidden post 481379 instead of the live listing"
MapQuest (current 43 S listing),https://www.mapquest.com/us/ohio/business-delaware/mango-law-llc-360133988,"Citation Tracker still reflects an older phone check, but the current live MapQuest listing now resolves with the correct office phone and website",accurate_live,owner_verified_or_claimable,info@mango.law,Fresh signup or claim via info@mango.law,Y,Y,Y,Unknown,Y,Y,Unknown,"No immediate NAP edit is required on the current MapQuest listing; monitor it while focusing on the remaining duplicates or legacy citations.","Claim access is still optional if we want stronger future control, but the current public listing is already aligned.","Live MapQuest browser check on 2026-04-08 shows the current 43 S Franklin listing with tel:+17404176191 and https://mango.law/ behind the public Call and Web actions"
MapQuest (legacy 46 N listing),https://www.mapquest.com/us/ohio/mango-law-llc-544598005,The older legacy URL now resolves to the current aligned MapQuest profile instead of exposing a separate bad listing,accurate_live,redirects_to_current_profile,info@mango.law,Fresh signup or claim via info@mango.law,Y,Y,Y,Unknown,Y,Y,Unknown,"Keep monitoring for any resurfacing legacy duplicate, but the previously bad legacy URL now resolves to the current listing.","No separate bad public profile was visible in the live browser check; the legacy URL redirected to the aligned current listing.","Live MapQuest browser check on 2026-04-08 shows https://www.mapquest.com/us/ohio/mango-law-llc-544598005 resolving to the current 43 S Franklin listing with tel:+17404176191 and https://mango.law/"
Superpages,https://www.superpages.com/claim-business,BrightLocal Citation Tracker currently treats Superpages as Potential / not listed,not_found_can_create,fresh_signup_via_info@mango.law,info@mango.law,Fresh signup or claim via info@mango.law,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Build or claim the Superpages listing from scratch using the canonical NAP set,BrightLocal has not credited Superpages as active yet,BrightLocal CT report 2370975
Bing Places,https://www.bingplaces.com/,"Citation Tracker shows Bing active on the search result URL, but not a separately claimed Bing Places admin path",live_unclaimed,fresh_signup_via_info@mango.law,info@mango.law,Fresh signup via info@mango.law,Y,Y,Y,Unknown,Unknown,Unknown,Unknown,Claim or create the Bing Places dashboard record so the listing is controllable instead of just discoverable in Bing search,BrightLocal does not expose a saved Bing Places login here,BrightLocal CT report 2370975
Manta,https://www.manta.com/c/mb09bv8/mango-law-llc,"Citation Tracker marks Manta active and correct, and Citation Builder shows the listing was updated",accurate_live,claimable_unclaimed,info@mango.law,"BrightLocal Citation Builder updated the listing, but no managed login was exposed",Y,Y,Y,Unknown,Unknown,Y,Unknown,Claim the live Manta listing so the current correct data stays editable and controlled,Public ownership still appears unclaimed,BrightLocal CT report 2370975 and CB campaign 921991
Storeboard,https://www.storeboard.com/mangolawllc,Citation Builder marks Storeboard live and exposes a managed login path; managed account login was verified and the listing was edited live on 2026-04-07,accurate_live,brightlocal_managed_account_recovered,mangolawoh@burst-email.com,BrightLocal campaign note plus verified burst-email inbox access,Y,Y,Y,Y,Y,Y,Y,No urgent NAP fix remains on Storeboard; keep the managed credentials documented and recheck only if the profile drifts again,"Managed login is still required for future edits, but the live public listing now reflects the corrected email and Monday hours","BrightLocal CB campaign 921991, burst-email inbox login verified 2026-04-06, managed Storeboard login verified 2026-04-07, public email corrected to office@mango.law, and Monday hours corrected to 9:00 AM - 5:00 PM"
