source,keyword,lane,owner_page,geo,avg_monthly_searches,competition,low_bid,high_bid,gsc_clicks,gsc_impressions,ahrefs_metric,decision,evidence_tier,priority,notes
Seed,delaware ohio ovi lawyer,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware OH,,,,,,,,Track candidate,Unvalidated seed,P0,Primary commercial OVI owner in local docs
Seed,dui lawyer delaware ohio,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware OH,,,,,,,,Track candidate,Unvalidated seed,P0,Close variant of primary OVI local intent
Seed,ovi attorney delaware ohio,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware OH,,,,,,,,Track candidate,Unvalidated seed,P0,Core attorney wording for OVI lane
Seed,delaware county ovi lawyer,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware County OH,,,,,,,,Track candidate,Unvalidated seed,P0,County modifier aligns with core market
Seed,delaware county dui lawyer,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware County OH,,,,,,,,Track candidate,Unvalidated seed,P0,County DUI variant for same owner page
Seed,ovi lawyer near delaware ohio,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Delaware OH,,,,,,,,Track candidate,Unvalidated seed,P1,Near-me style local variant with redirected historical URL not used as owner
Seed,columbus ovi lawyer,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Columbus OH,,,,,,,,Watchlist,Unvalidated seed,P1,Important market but page ownership should be validated before live tracking
Seed,franklin county ovi lawyer,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Franklin County OH,,,,,,,,Watchlist,Unvalidated seed,P1,Expansion geo needs evidence or county owner fit
Seed,ohio ovi lawyer,Delaware OVI/DUI defense,/ovi-dui-defense-delaware-oh,Ohio,,,,,,,,Watchlist,Unvalidated seed,P2,Broad statewide commercial term may be difficult without local fit
Seed,criminal defense attorney delaware ohio,Criminal defense,/criminal-defense-delaware-oh,Delaware OH,,,,,,,,Track candidate,Unvalidated seed,P0,Primary criminal defense owner in local docs
Seed,criminal lawyer delaware ohio,Criminal defense,/criminal-defense-delaware-oh,Delaware OH,,,,,,,,Track candidate,Unvalidated seed,P0,Core criminal defense synonym
Seed,delaware ohio criminal defense attorney,Criminal defense,/criminal-defense-delaware-oh,Delaware OH,,,,,,,,Track candidate,Unvalidated seed,P0,Exact local commercial construction from setup brief
Seed,delaware county criminal defense attorney,Criminal defense,/criminal-defense-delaware-oh,Delaware County OH,,,,,,,,Track candidate,Unvalidated seed,P0,County core market term
Seed,criminal defense lawyer delaware county ohio,Criminal defense,/criminal-defense-delaware-oh,Delaware County OH,,,,,,,,Track candidate,Unvalidated seed,P1,Longer county variant for validation
Seed,franklin county criminal defense attorney,Criminal defense,/criminal-defense-delaware-oh,Franklin County OH,,,,,,,,Watchlist,Unvalidated seed,P1,Expansion geo requires page fit or county page evidence
Seed,columbus criminal defense attorney,Criminal defense,/criminal-defense-delaware-oh,Columbus OH,,,,,,,,Watchlist,Unvalidated seed,P1,High-value expansion term but current owner is Delaware-focused
Seed,misdemeanor lawyer delaware ohio,Criminal defense,/criminal-defense-delaware-oh,Delaware OH,,,,,,,,Track candidate,Unvalidated seed,P2,Service fit under criminal defense owner
Seed,felony lawyer delaware ohio,Criminal defense,/criminal-defense-delaware-oh,Delaware OH,,,,,,,,Track candidate,Unvalidated seed,P2,Service fit under criminal defense owner
