week,publish_date,priority,title,primary_keyword,secondary_keywords,owner_page_to_support,internal_links,roi_rationale,source_requirements,notes
1,2026-04-24,P0,"Ohio Liv's Law OVI Changes: Fines, Interlock, and Oral-Fluid Testing","ohio liv's law ovi","ohio ovi law changes 2025; ohio ovi interlock law; hb 37 ohio ovi",/ovi-dui-defense-delaware-oh,"/ovi-dui-defense-delaware-oh; /als-license-suspension-ohio; /ovi-test-refusal-lawyer-ohio","Fast freshness win from April 9 2025 law change; supports all OVI commercial terms and gives Mango a timely legal-update asset.","Ohio HB 37; current ORC 4511.19; ORC 4511.191; Ohio BMV suspension pages; Ohio LSC final analysis","Advanced from the original Apr 28 slot and drafted in src/data/blogPosts.ts as /blog/ohio-livs-law-ovi-changes."
1,2026-05-03,P0,"High-Tier OVI in Ohio: What a .17+ Test Can Change in Your Case","high tier ovi ohio","high test ovi ohio; ohio ovi .17; high bac ovi ohio",/ovi-dui-defense-delaware-oh,"/ovi-dui-defense-delaware-oh; /first-offense-ovi-ohio; /felony-ovi-lawyer-ohio","High-intent charge modifier likely closer to hiring decision than broad education terms; fills gap between broad OVI and felony OVI.","Current ORC 4511.19; ORC 4510.13; Ohio BMV ALS guidance; Ohio Administrative Code Chapter 3701-53; HB 37 analysis","Drafted in src/data/blogPosts.ts as /blog/high-tier-ovi-ohio-17-test with visible FAQ/AEO support and official-source citations."
2,2026-05-03,P0,"Can I Drive After an OVI Arrest in Delaware County, Ohio?","delaware county ovi driving privileges","delaware county limited driving privileges; ovi driving privileges delaware ohio",/als-license-suspension-ohio,"/als-license-suspension-ohio; /ovi-dui-defense-delaware-oh; /contact","Local-procedure content can rank faster than statewide head terms and captures urgent license-pressure leads.","Delaware Municipal Court driving-privileges form/page; Ohio BMV ALS page; ORC 4510/4511.191","Implemented by refreshing the existing /blog/ohio-ovi-driving-privileges-als article instead of publishing a duplicate local OVI privileges URL."
2,2026-05-07,P1,"OVI Refusal vs. Failed Test in Ohio: Which Creates the Bigger Problem?","ovi refusal vs failed test ohio","refuse breath test ohio; als refusal ohio; ohio ovi chemical test refusal",/ovi-test-refusal-lawyer-ohio,"/ovi-test-refusal-lawyer-ohio; /als-license-suspension-ohio; /ovi-dui-defense-delaware-oh","Refusal searches are urgent and conversion-oriented; supports test-refusal owner and ALS owner.","ORC 4511.191; Ohio BMV ALS guidance; current ORC 4511.19","Differentiate field sobriety refusal from chemical-test refusal."
3,2026-05-03,P1,"Drug OVI in Ohio: Marijuana, Prescription Drugs, and Blood or Urine Testing","drug ovi ohio","marijuana ovi ohio; prescription drug ovi ohio; urine test ovi ohio; blood test drug ovi ohio; oral fluid testing OVI Ohio",/ovi-dui-defense-delaware-oh,"/ovi-dui-defense-delaware-oh; /drug-crime-lawyer-delaware-oh; /motion-to-suppress-ovi-ohio","Captures growing drug-OVI ambiguity and links OVI with drug-defense lanes; likely less competitive than broad OVI.","Current ORC 4511.19; ORC 4511.191; ORC 4511.192; ORC 4511.197; ORC 3701.143; Ohio Admin Code Chapter 3701-53; ORC 3796.221; HB 37 final analysis","Implemented as /blog/drug-ovi-ohio in the May 3 execution round; image follows watercolor legal tabletop standard; GSC indexing request remains pending after live deploy."
3,2026-05-03,P1,"What Happens After a Domestic Violence Arrest in Delaware County, Ohio?","domestic violence lawyer delaware ohio","domestic violence defense attorney delaware ohio; no contact order domestic violence ohio",/domestic-violence-lawyer-delaware-oh,"/domestic-violence-lawyer-delaware-oh; /criminal-defense-delaware-oh; /protection-order-lawyer-delaware-oh","DV owner is a tracked P1; arrest-process content captures immediate-search users and routes to commercial page.","ORC 2919.25; Delaware Municipal Court criminal process; Supreme Court of Ohio protection-order resources","Advanced from 2026-05-14 and implemented in src/data/blogPosts.ts as /blog/domestic-violence-arrest-delaware-county-ohio; production deploy and GSC indexing request still pending."
4,2026-05-19,P1,"Civil Protection Order Hearing in Delaware County: Evidence, Deadlines, and Defense Steps","civil protection order lawyer delaware ohio","cpo hearing delaware county ohio; protection order lawyer delaware ohio",/protection-order-lawyer-delaware-oh,"/protection-order-lawyer-delaware-oh; /civil-protection-order-defense-ohio; /domestic-violence-lawyer-delaware-oh","Local CPO hearing content should support a P1/P2 commercial protection-order lane and may rank faster than generic CPO articles.","Delaware County CPO forms/checklists; Supreme Court of Ohio CPO resources; ORC 3113.31","Avoid giving filing advice to petitioners as the primary angle; focus on defense/respondent risk."
4,2026-05-21,P2,"Drug Possession in a Car in Ohio: Search, Constructive Possession, and Passenger Issues","drug possession in car ohio","constructive possession ohio drug charge; passenger drug possession ohio",/drug-crime-lawyer-delaware-oh,"/drug-crime-lawyer-delaware-oh; /drug-possession-vs-trafficking-ohio-defense; /criminal-defense-delaware-oh","Specific scenario with strong search-and-seizure intent; supports drug owner page and motion-practice positioning.","ORC 2925.11; current search/seizure case law check; ORC 2925.03 if trafficking facts appear","Do not duplicate existing possession-vs-trafficking post; use vehicle/passenger facts as the angle."
5,2026-05-03,P2,"Ohio Misdemeanor vs. Felony Charges: Delaware County Defense Guide","misdemeanor lawyer delaware ohio","felony lawyer delaware ohio; criminal defense attorney delaware ohio",/criminal-defense-delaware-oh,"/criminal-defense-delaware-oh; /contact; /practice-areas","Builds support for P0 criminal-defense owner and P2 misdemeanor/felony variants without needing a new owner page.","ORC offense-level sources; Delaware Municipal/Common Pleas jurisdiction sources","Advanced from 2026-05-26 and implemented in src/data/blogPosts.ts as /blog/ohio-misdemeanor-vs-felony-charges-delaware-county; linked from /criminal-defense-delaware-oh with a matching watercolor image."
5,2026-05-03,P2,"Delaware County Criminal Case Timeline: Arraignment, Pretrial, Motions, and Trial","delaware county criminal defense attorney","criminal lawyer delaware ohio; delaware county municipal court criminal case",/criminal-defense-delaware-oh,"/criminal-defense-delaware-oh; /blog/bond-jail-information-delaware-county-ohio; /blog/motion-practice-criminal-defense","Local timeline content can rank for court-process searches and convert anxious defendants or family members quickly.","Delaware Municipal Court resources; Ohio Criminal Rules; local court pages","Advanced from 2026-05-28 and implemented in src/data/blogPosts.ts as /blog/delaware-county-criminal-case-timeline; linked from /criminal-defense-delaware-oh with a matching watercolor image."
