target_domain,tier,type,contact_name,contact_email_or_form,target_url,asset_pitched,status,first_touch_date,follow_up_1_date,follow_up_2_date,result_notes,live_link_url,utm_or_tracking_note,owner
google.com/business,1,citation,,https://www.google.com/business/,https://mango.law/ovi-dui-defense-delaware-oh,Google business profile consistency,not started,,,,,,,SEO_OPS
bingplaces.com,1,citation,,https://www.bingplaces.com/,https://mango.law/criminal-defense-delaware-oh,Primary criminal defense pillar listing,not started,,,,,,,SEO_OPS
mapsconnect.apple.com,1,citation,,https://mapsconnect.apple.com/,https://mango.law/contact,Primary firm contact listing,not started,,,,,,,SEO_OPS
yelp.com,1,citation,,https://biz.yelp.com/,https://mango.law/reviews,Firm profile and review profile consistency,not started,,,,,,,SEO_OPS
yellowpages.com,1,citation,,https://www.yellowpages.com/business-center/,https://mango.law/practice-areas,Practice area profile listing,not started,,,,,,,SEO_OPS
chamberofcommerce.com,1,citation,,https://www.chamberofcommerce.com/help/contact,https://mango.law/about,Firm profile citation and NAP consistency,not started,,,,,,,SEO_OPS
manta.com,1,citation,,https://www.manta.com/support/contact/,https://mango.law/contact,Business profile citation consistency,not started,,,,,,,SEO_OPS
mapquest.com,1,citation,,https://help.mapquest.com/hc/en-us/requests/new,https://mango.law/locations,Location citation profile,not started,,,,,,,SEO_OPS
superpages.com,1,citation,,https://www.superpages.com/claim-business,https://mango.law/contact,Business listing claim update,not started,,,,,,,SEO_OPS
hotfrog.com,2,citation,,https://www.hotfrog.com.au/contact,https://mango.law/about,Business citation support listing,not started,,,,,,,SEO_OPS
avvo.com,1,citation,,https://support.avvo.com/hc/en-us/requests/new,https://mango.law/about,Attorney profile citation alignment,not started,,,,,,,SEO_OPS
justia.com,1,citation,,https://support.justia.com/,https://mango.law/criminal-defense-delaware-oh,Legal directory profile listing,not started,,,,,,,SEO_OPS
findlaw.com,1,citation,,https://www.findlaw.com/company/contact-us.html,https://mango.law/ovi-dui-defense-delaware-oh,Legal directory firm listing,not started,,,,,,,SEO_OPS
lawyers.com,1,citation,,https://www.lawyers.com/help/,https://mango.law/practice-areas,Martindale and lawyers profile alignment,not started,,,,,,,SEO_OPS
lawinfo.com,2,citation,,https://www.lawinfo.com/contact/,https://mango.law/drug-crime-lawyer-delaware-oh,Practice area legal directory listing,not started,,,,,,,SEO_OPS
nolo.com,2,backlink,,https://www.nolo.com/legal-encyclopedia/contact-us.html,https://mango.law/glossary,Resource mention outreach for glossary asset,not started,,,,,,,SEO_OPS
hg.org,2,citation,,https://www.hg.org/contactus.asp,https://mango.law/criminal-defense-delaware-oh,Attorney directory profile placement,not started,,,,,,,SEO_OPS
superlawyers.com,2,citation,,https://digital.superlawyers.com/contact/,https://mango.law/about,Attorney profile citation opportunity,not started,,,,,,,SEO_OPS
expertise.com,2,backlink,,https://www.expertise.com/contact,https://mango.law/resources/dui-checkpoints,Resource inclusion outreach,not started,,,,,,,SEO_OPS
delawareohio.net,2,backlink,,https://delawareohio.net/contact,https://mango.law/resources/dui-checkpoints,Local resource inclusion request,not started,,,,,,,SEO_OPS
unioncountyohio.gov,2,backlink,,https://www.unioncountyohio.gov/contact,https://mango.law/ovi-checkpoints-ohio,County legal resource inclusion outreach,not started,,,,,,,SEO_OPS
morrowcountyohio.gov,2,backlink,,https://morrowcountyohio.gov/contact-us/,https://mango.law/ovi-checkpoints-ohio,County rights resource outreach,not started,,,,,,,SEO_OPS
marioncountyohio.gov,2,backlink,,https://www.co.marion.oh.us/contact,https://mango.law/resources/dui-checkpoints,County resource link outreach,not started,,,,,,,SEO_OPS
abc6onyourside.com,3,backlink,,https://abc6onyourside.com/station/contact,https://mango.law/resources/dui-checkpoints,Regional media resource pitch checkpoint asset,not started,,,,,,,SEO_OPS
10tv.com,3,backlink,,https://www.10tv.com/contact-us,https://mango.law/ovi-checkpoints-ohio,Regional media legal rights explainer pitch,not started,,,,,,,SEO_OPS
dispatch.com,3,backlink,,https://www.dispatch.com/contact-us,https://mango.law/glossary,Editorial resource pitch legal terminology guide,not started,,,,,,,SEO_OPS
richlandsource.com,3,backlink,,https://www.richlandsource.com/site/contact.html,https://mango.law/resources/dui-checkpoints,Checkpoint map resource pitch,not started,,,,,,,SEO_OPS
whiznews.com,3,backlink,,https://www.whiznews.com/contact/,https://mango.law/ovi-checkpoints-ohio,Regional legal rights resource pitch,not started,,,,,,,SEO_OPS
sciotopost.com,3,backlink,,https://www.sciotopost.com/contact/,https://mango.law/resources/dui-checkpoints,Regional checkpoint resource inclusion,not started,,,,,,,SEO_OPS
marionstar.com,3,backlink,,https://www.marionstar.com/contact/staff/,https://mango.law/glossary,Local media outreach for glossary guide,not started,,,,,,,SEO_OPS
