event,source_code_event,gtm_trigger,ga4_event,key_event,status,notes
"Page view","mango_page_view","Custom Event equals mango_page_view","page_view","No","Live validated after GTM Version 5 publish","GTM has GA4 - Event - page_view on CE - mango_page_view. trackPageView pushes page_title page_location page_path traffic_origin_type and traffic_origin_source. Page-view emission is now centralized in src/app/providers.tsx to avoid the previous provider plus SEO duplicate path. Live network validation on 2026-05-03 observed GA4 collect event page_view after consent."
"CTA click","cta_click","Custom Event equals cta_click","cta_click","No","Live validated after GTM Version 5 publish","GTM has GA4 - Event - cta_click on CE - cta_click. trackCtaClick is used by header, footer, CTA sections, hero CTAs, checkpoint banner, lead modal open, and chat launcher interactions. PageHero primary CTAs now send cta_click with placement and target_url. Tag Assistant preview and live network validation on 2026-05-03 observed GA4 collect event cta_click."
"Lead submitted - form","lead_submitted","Custom Event equals lead_submitted with lead_source=form","generate_lead","Yes; configured as GA4 key event","GTM mapping live; real form submit still pending","GTM has GA4 - Event - generate_lead on CE - lead_submitted. ContactForm, QuickIntakeForm, and LeadCaptureModal call trackLeadSubmitted with lead_source=form. GA4 generate_lead was created as a key event with no default monetary value and once-per-event counting. Live network validation on 2026-05-03 observed generate_lead only through a synthetic lead_submitted dataLayer event, not a real form submit."
"Lead submitted - phone","lead_submitted","Custom Event equals lead_submitted with lead_source=phone","generate_lead","Yes; configured as GA4 key event","GTM mapping live; real phone click duplicate QA pending","Phone clicks in header, footer, contact page, hero phone CTA, hero primary tel CTA, CTASection, LocationBlock, About, Home, Service Areas, NotFound, checkpoint banner, and practice-area grid push lead_submitted with target_number when wired. Live network validation on 2026-05-03 observed generate_lead through a synthetic lead_submitted event; complete phone-click duplicate QA before reporting phone leads."
"Lead submitted - email","lead_submitted","Custom Event equals lead_submitted with lead_source=email","generate_lead","Yes; configured as GA4 key event","GTM mapping live; real email-click duplicate QA pending","Email clicks on Home, Contact, About, Of Counsel, and Footer push lead_submitted with target_email. PageHero primary mailto CTAs now send lead_submitted if introduced later. Live network validation on 2026-05-03 observed generate_lead through a synthetic lead_submitted event; complete email-click duplicate QA before reporting email leads."
"Lead submitted - chat","lead_submitted","Custom Event equals lead_submitted with lead_source=chat","generate_lead","Yes; configured as GA4 key event","GTM mapping live; real chat submit pending","ConversationWindow calls trackLeadSubmitted with lead_source=chat and checkpoint_id=chat_widget after successful backend submission. Live network validation on 2026-05-03 observed generate_lead through a synthetic lead_submitted event; real chat submission validation still requires an approved test lead."
"Chat open","cta_click","Custom Event equals cta_click where cta=chat_open","cta_click","No","Source instrumented; GTM cta_click tag confirmed; GA4 recent event active","trackChatOpen wraps trackCtaClick and is used by ChatIntakeLauncher. Useful as assisted conversion context, not a lead unless paired with lead_submitted."
"Lead modal open","cta_click","Custom Event equals cta_click where cta=lead_modal_open","cta_click","No","Source instrumented; GTM cta_click tag confirmed; GA4 recent event active","trackLeadModalOpen wraps trackCtaClick and is called from Layout when opening the lead modal. Treat as funnel interaction unless form submit follows."
"Experiment exposure","experiment_exposure","Custom Event equals experiment_exposure","experiment_exposure","No","Source instrumented; no matching GTM tag confirmed in visible pass","trackExperimentExposure is used by PageHero and MidPageCtaExperiment with experiment_id and variant. Add a GTM/GA4 mapping only if experiments need to appear in monthly SEO reporting."
"GTM container load","gtm.js","Built-in GTM bootstrap","Not applicable","No","GTM Version 5 live","Root layout installs GTM-WLJQZKB5 and noscript iframe. GTM container Mango Law / mango.law is live on Version 5, published 2026-05-03 by tim@sistrunktech.com, with modified GA4 Event tags for page_view, cta_click, and generate_lead."
"Consent mode default/update","gtag consent default and update","Consent initialization beforeInteractive","Not applicable","No","Accepted-consent validation complete","Root layout defaults analytics_storage to denied and updates from ml_consent_v2 if present. Live network validation on 2026-05-03 set ml_consent_v2 to granted for analytics and observed GA4 collect calls for page_view, cta_click, and synthetic generate_lead."
"Optional phone click trigger","tel: links plus lead_submitted where wired","Optional Click URL starts with tel:","phone_click or generate_lead","Only if configured","Source coverage improved; no optional GTM click trigger confirmed","Most tel links now call lead_submitted. Do not add a broad GTM tel trigger until a crawl confirms remaining unwired tel links, because it could double count existing source-driven phone leads."
"Optional email click trigger","mailto: links plus lead_submitted where wired","Optional Click URL starts with mailto:","email_click or generate_lead","Only if configured","Source coverage improved; no optional GTM click trigger confirmed","Email clicks are source-instrumented on major contact surfaces. A GTM click trigger may be useful for missed mailto links but should be checked for duplication."
