page,issue,recommended_change,dependency,risk
"/ovi-dui-defense-delaware-oh","Primary Delaware OVI/DUI owner is present in sitemap and navigation; support pages need to route authority back to it.","Keep as the sole tracked owner for Delaware OVI/DUI terms and audit internal links from ALS, refusal, motion-to-suppress, first-offense, felony, checkpoints, blog, glossary, and footer/nav support pages.","Final keyword map plus GSC URL inspection and landing-page performance validation.","High commercial SEO risk if support pages cannibalize the owner or if GSC indexing is weak."
"/delaware-ohio-ovi-lawyer","Historical OVI URL is a permanent redirect to /ovi-dui-defense-delaware-oh and is intentionally absent from sitemap.","Do not assign tracked keywords to this redirected URL; use it only as redirect/canonical history in reporting notes.","No-admin repo validation complete; browser/live HTTP validation still needed if redirect status must be documented.","Medium risk of rank-tracker confusion if BrightLocal or GSC queues treat the old URL as a separate owner."
"/criminal-defense-delaware-oh","Primary criminal-defense owner is in sitemap and navigation; prior GSC audit listed this page in 5xx examples.","Keep as Delaware criminal-defense owner and prioritize GSC URL inspection before final tracking decisions.","GSC browser read access and January 2026 issue recheck.","High risk because a historic 5xx/indexing issue could suppress a core commercial page."
"/drug-crime-lawyer-delaware-oh","Commercial drug-crime owner is in sitemap and nav, with related support topic /drug-possession-vs-trafficking-ohio-defense also in sitemap.","Audit internal links between the commercial owner and possession-vs-trafficking support content after keyword priorities are finalized.","Keyword Planner/Ahrefs validation for possession, trafficking, and search/seizure terms.","Medium risk of splitting intent if support content starts outranking the commercial owner for local lawyer terms."
"/protection-order-lawyer-delaware-oh","Commercial protection-order owner is in sitemap and nav; related civil-protection support page is also in sitemap.","Link civil-protection and no-contact informational content back to the commercial Delaware protection-order owner with clear anchor language.","Final keyword map plus content/schema review.","Medium risk if CPO/no-contact informational pages cannibalize local commercial queries."
"/domestic-violence-lawyer-delaware-oh","Commercial/support ownership overlaps with /domestic-violence-first-offense-ohio-defense.","Confirm which page owns local commercial domestic-violence defense terms, then align internal links and tracker assignments accordingly.","Planner/GSC/Ahrefs validation and SEO lead decision.","High risk of cannibalization until one page is assigned as the commercial owner."
"/domestic-violence-first-offense-ohio-defense","Support page is in sitemap and could capture problem-aware first-offense queries.","Use as support content and route local commercial CTAs/internal links to the selected domestic-violence owner page.","Commercial owner decision for domestic violence terms.","Medium risk if this page is tracked for broad local attorney terms before evidence supports it."
"/als-license-suspension-ohio","OVI support owner is in sitemap and appears in OVI nav/footer guide links.","Keep as OVI-support page and add/verify contextual links back to /ovi-dui-defense-delaware-oh for lawyer-intent queries.","Keyword validation for ALS/license-suspension demand and internal-link audit.","Medium risk if promoted as a standalone commercial owner without demand evidence."
"/ovi-test-refusal-lawyer-ohio","OVI refusal support page is in sitemap and OVI nav/footer guide links.","Use for refusal-specific tracking only if evidence supports it; reinforce link path to the main OVI page for broader OVI lawyer intent.","Planner/GSC/Ahrefs validation for refusal terms.","Medium risk of over-allocating tracker slots to low-volume support queries."
"/motion-to-suppress-ovi-ohio","OVI motion support page is in sitemap and OVI nav/footer guide links.","Use as problem-aware support and ensure copy/internal links connect suppression issues to the main OVI owner.","Keyword validation and metadata/schema review after final keyword map.","Low-to-medium risk; likely valuable for long-tail but not a primary local owner."
"/first-offense-ovi-ohio","Support page is in sitemap and OVI nav/footer guide links.","Track only if demand supports a dedicated slot; otherwise use it to support the main OVI owner and conversion paths.","Planner/GSC validation for first-offense OVI terms.","Medium risk if tracked without enough volume or if it competes with the main OVI page."
"/felony-ovi-lawyer-ohio","Support/commercial hybrid page is in sitemap and OVI nav/footer guide links.","Validate felony OVI demand and link it clearly to the OVI owner while preserving felony-specific intent.","Planner/Ahrefs/GSC validation for felony OVI terms.","Medium risk due high-value but narrower query set."
"/resources/dui-checkpoints","Checkpoint resource is in sitemap, nav, and related checkpoint pages; it depends on update freshness.","Keep only as a tracked resource if a recency/update process continues; link checkpoint traffic to OVI consultation paths and OVI owner page.","Content freshness process and GSC performance review.","Medium risk if stale checkpoint content harms trust or captures traffic without conversion paths."
"/ovi-checkpoints-ohio","Checkpoint support page is in sitemap and links to the live checkpoint resource and OVI owner.","Treat as support for statewide checkpoint queries; avoid assigning the same checkpoint terms to both checkpoint URLs without evidence.","GSC page/query data and freshness review.","Medium cannibalization risk with /resources/dui-checkpoints."
"/glossary","Glossary is in sitemap and navigation as legal-definition support, not a commercial owner.","Use glossary entries to support ORC/legal-definition long tail and link relevant entries to commercial practice pages.","Glossary entry inventory and internal-link review.","Low-to-medium risk if definition pages are optimized toward lawyer-intent terms and compete with practice pages."
"/practice-areas","Practice-area hub is in sitemap and navigation; it links to core commercial pages.","Audit hub anchors after keyword map finalization so OVI and criminal defense remain prominent without diluting owner-page intent.","Final keyword priority order.","Low risk; hub should support discovery and internal equity rather than own high-intent terms."
"/locations","Locations hub is in sitemap and navigation; county/city expansion should avoid thin city pages.","Use /locations for local discovery and watchlist geo terms until county-page evidence justifies expansion.","Planner/GSC/Ahrefs geo validation and no-thin-city-page rule.","Medium risk if suburb terms are tracked without owner pages."
"/contact","Conversion page is in sitemap; phone/email/form events are source-instrumented.","Validate contact-form, phone, and email conversion events in GA4/GTM DebugView before monthly SEO reporting.","Browser DebugView/Realtime validation and GA4 key-event review.","High reporting risk if lead_submitted is not mapped as a GA4 key event or duplicates are present."
"/reviews","Trust page is in sitemap and navigation but should not own broad commercial keywords.","Use as trust/conversion support with links to contact and priority practice pages; do not allocate core tracker slots here.","Internal-link and conversion-path audit.","Low SEO ownership risk; moderate conversion risk if trust traffic lacks clear next step."
"/about","Trust page is in sitemap and navigation; prior GSC audit mentioned /about in 5xx examples.","Recheck indexing/live status and keep About as E-E-A-T support for former-prosecutor and credentials messaging where verified.","GSC URL inspection and legal-claim verification.","Medium trust risk if indexing or claim validation is weak."
"/blog","Blog hub is in sitemap and navigation; posts can support OVI/criminal long-tail discovery.","Map blog posts to owner pages with contextual internal links after keyword research; avoid assigning broad commercial terms to posts.","Blog inventory, GSC query data, and final keyword map.","Medium cannibalization risk if blog posts are optimized for commercial lawyer terms."
"/personal-injury-lawyer-delaware-oh","PI page is in sitemap and mega menu but is secondary in the SEO workstream.","Keep PI secondary and do not spend core criminal-defense tracker capacity unless explicitly approved.","Client approval plus Planner/GSC/Ahrefs validation for PI campaign priority.","Medium prioritization risk because PI can distract from criminal-defense objectives."
